time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
83.6500	54.0287	-0.0001	0.0000	0.7720	5.6348	-1.3214	-0.0930	8.2644	3.0051	11.7008	-0.6095	-1.0256	0.7076	-1.8652	-0.0299	-4.3802
83.7000	54.0673	-0.0001	0.0000	0.7700	5.6434	-1.3301	0.0938	8.2903	2.9964	9.2999	-1.9576	-0.4170	-1.5478	-3.1276	0.3079	-5.0116
83.7500	54.1058	-0.0001	0.0000	0.7680	5.6634	-1.3011	0.1004	8.2526	3.0741	2.2898	-1.0473	-1.1768	-1.2104	-2.7489	0.9688	-4.6723
83.8000	54.1442	-0.0001	0.0000	0.7660	5.6904	-1.2480	0.0234	8.1740	3.2068	2.2898	-0.2937	1.6467	0.9828	-0.6368	0.5233	-5.0539
83.8500	54.1825	-0.0001	0.0000	0.7660	5.6317	-1.2854	-0.1602	8.1897	3.0737	11.8935	2.7466	-0.6641	1.0361	1.1743	0.2491	-5.4026
83.9000	54.2208	-0.0001	0.0000	0.7620	5.5758	-1.2245	-0.0422	8.0125	3.1391	12.8996	-0.7991	-0.1448	-0.0650	2.5192	0.0238	-5.7466
83.9500	54.2589	-0.0001	0.0000	0.7620	5.5359	-1.2074	0.1359	7.9386	3.1331	6.6064	-1.0486	-3.2014	-1.2459	1.3781	-1.0630	-4.9456
84.0000	54.2970	-0.0001	0.0000	0.7580	5.4998	-1.2270	0.0092	7.9414	3.0581	3.5241	-0.6867	1.7648	-0.2071	0.0186	-0.7693	-5.1623
84.0500	54.3349	-0.0001	0.0000	0.7560	5.5490	-1.1942	-0.0466	7.9255	3.1725	11.1942	3.1006	0.4160	-1.2992	-0.4960	0.0533	-4.3330
84.1000	54.3727	-0.0001	0.0000	0.7480	5.5520	-1.2053	-0.0843	7.9505	3.1535	13.7629	0.0831	-0.4545	0.7609	-2.6615	0.1903	-4.9551
84.1500	54.4101	-0.0001	0.0000	0.7600	5.4843	-1.2425	0.0474	7.9569	3.0116	7.4626	0.3371	-1.6651	-0.4379	-2.8023	0.2785	-4.0267
84.2000	54.4481	-0.0001	0.0000	0.7500	5.5106	-1.2847	0.0152	8.0672	2.9540	2.8285	-3.4179	-0.4813	1.3468	-0.9038	-0.4510	-5.1388
84.2500	54.4856	-0.0001	0.0000	0.7480	5.4202	-1.2698	0.0485	7.9471	2.8933	9.8564	0.6529	1.0071	-1.1127	-0.3989	0.2149	-5.3979
84.3000	54.5230	-0.0001	0.0000	0.7400	5.3904	-1.2894	-0.0318	7.9562	2.8246	13.7986	1.8171	-0.9632	0.6543	1.0140	-0.4315	-5.2048
84.3500	54.5600	-0.0001	0.0000	0.7500	5.3606	-1.2356	-0.0848	7.8195	2.9018	7.3378	1.2659	-0.1022	0.7431	1.7569	-1.1267	-4.9880
84.4000	54.5975	-0.0001	0.0000	0.7420	5.3111	-1.3030	-0.0056	7.9040	2.7181	3.0710	-1.7395	-0.9326	-0.7842	1.4801	-0.8084	-4.3142
84.4500	54.6346	-0.0001	0.0000	0.7400	5.2287	-1.2701	0.0611	7.7563	2.7011	7.8015	-2.9396	-1.1615	-1.4591	-0.7339	-0.6860	-5.1294
84.5000	54.6716	-0.0001	0.0000	0.7320	5.1962	-1.3110	-0.0220	7.8051	2.5873	12.8995	0.8626	-0.0786	0.0327	-0.4474	-0.1229	-4.8420
84.5500	54.7082	-0.0001	0.0000	0.7420	5.3057	-1.2613	-0.1170	7.8156	2.7958	9.5675	2.7092	2.1374	-1.5833	-1.0737	0.3960	-4.1115
84.6000	54.7453	-0.0001	0.0000	0.7340	5.2390	-1.2617	0.0064	7.7498	2.7282	5.1366	1.5873	-0.9091	0.1659	-0.9378	1.2038	-4.0362
84.6500	54.7820	-0.0001	0.0000	0.7320	5.1878	-1.2044	0.1206	7.5847	2.7910	10.8375	-2.7216	-0.4404	-0.3491	-0.7874	-0.8525	-4.8655
84.7000	54.8186	-0.0001	0.0000	0.7220	5.1462	-1.2925	0.0780	7.7183	2.5741	17.0628	0.3385	0.3596	-1.0949	-0.3503	-0.7790	-3.4235
84.7500	54.8547	-0.0001	0.0000	0.7340	5.1691	-1.2858	-0.1258	7.7278	2.6103	10.7840	1.1058	0.6954	-0.9795	-0.2775	-0.2014	-4.2246
84.8000	54.8914	-0.0001	0.0000	0.7240	5.0746	-1.2204	-0.0739	7.5032	2.6460	6.1177	2.9623	-0.2826	-1.8409	-0.5057	-0.7007	-3.9749
84.8500	54.9276	-0.0001	0.0000	0.7240	5.0335	-1.3248	0.0245	7.6699	2.3971	10.0455	1.8914	0.8805	0.4057	-0.0881	0.0876	-4.2671
84.9000	54.9638	-0.0001	0.0000	0.7200	4.9605	-1.2900	0.1217	7.5277	2.3934	12.6997	-1.2346	-1.1930	0.1126	-0.2387	0.9051	-4.6111
84.9500	54.9998	-0.0001	0.0000	0.7180	5.0162	-1.2980	0.0463	7.5993	2.4331	10.6948	0.8281	0.9833	-1.5478	0.1157	-0.0985	-3.6875
85.0000	55.0357	-0.0001	0.0000	0.7100	5.0024	-1.2800	-0.0799	7.5496	2.4552	4.7477	4.6432	0.8425	-0.3047	0.4411	0.2686	-4.2340
85.0500	55.0712	-0.0001	0.0000	0.7180	4.9391	-1.3046	-0.0597	7.5353	2.3430	11.3976	-0.4216	-1.8519	-0.1981	0.6887	-0.0789	-4.3236
85.1000	55.1071	-0.0001	0.0000	0.7120	4.8581	-1.3373	-0.0515	7.5193	2.1968	17.5265	1.5061	1.1749	-0.8020	0.2809	-0.8573	-4.0597
85.1500	55.1427	-0.0001	0.0000	0.7080	4.8378	-1.2423	0.0474	7.3101	2.3655	9.8065	-0.2784	0.7625	0.0239	-1.0301	-1.0630	-3.4282
85.2000	55.1781	-0.0001	0.0000	0.7080	4.9064	-1.2438	0.0649	7.3817	2.4312	3.4171	0.5378	-0.8208	1.0982	-2.1468	-0.0398	-4.2340
85.2500	55.2135	-0.0001	0.0000	0.7060	4.7983	-1.2796	-0.1252	7.3448	2.2518	10.0527	1.0532	0.2500	-0.7487	-1.2874	0.3029	-4.3047
85.3000	55.2488	-0.0001	0.0000	0.7020	4.7149	-1.2780	-0.0788	7.2580	2.1718	16.4563	1.6620	-1.1444	-0.2603	-1.7292	0.2540	-4.9833
85.3500	55.2839	-0.0001	0.0000	0.7000	4.7000	-1.2615	0.0266	7.2105	2.1895	13.4917	-0.1268	2.2893	-1.2636	-0.1610	0.9933	-4.1162
85.4000	55.3189	-0.0001	0.0000	0.6960	4.6861	-1.3290	0.0572	7.3308	2.0414	8.4081	-0.1062	0.0051	0.2014	0.8295	-0.5195	-3.0042
85.4500	55.3537	-0.0001	0.0000	0.6960	4.6041	-1.2103	-0.0635	7.0126	2.1956	10.4416	-0.4273	0.3907	-0.0738	1.2762	-0.7790	-4.8277
85.5000	55.3885	-0.0001	0.0000	0.6940	4.5660	-1.2545	-0.0635	7.0625	2.0695	14.8652	1.2245	-0.4802	1.5600	0.9995	-0.9063	-3.9231
85.5500	55.4232	-0.0001	0.0000	0.6900	4.5366	-1.2520	0.0146	7.0282	2.0451	14.2017	-0.0214	0.2855	0.9917	0.6159	-0.1475	-4.8796
85.6000	55.4577	-0.0001	0.0000	0.6900	4.5046	-1.3272	-0.0498	7.1458	1.8633	7.8729	-1.1451	-1.4700	-0.6421	-0.5009	-0.6077	-3.8288
85.6500	55.4922	-0.0001	0.0000	0.6860	4.5434	-1.2813	0.0709	7.0933	1.9935	7.4555	0.4688	1.3033	-0.1981	-0.7242	-0.1377	-3.1455
85.7000	55.5265	-0.0001	0.0000	0.6820	4.4827	-1.2635	-0.0050	6.9971	1.9683	12.2895	0.5920	-0.0085	-1.8852	-1.2728	0.1903	-4.7854
85.7500	55.5606	-0.0001	0.0000	0.6820	4.4640	-1.2229	-0.0504	6.8975	2.0304	14.2552	1.9079	-0.4522	0.3879	-0.6222	0.4254	-3.4000
85.8000	55.5947	-0.0001	0.0000	0.6780	4.4525	-1.2591	-0.0832	6.9581	1.9469	11.9969	-0.6604	1.3692	0.1659	-0.9815	-0.5441	-3.4282
85.8500	55.6286	-0.0001	0.0000	0.6740	4.3840	-1.3426	0.0113	7.0557	1.7123	8.3295	-1.5567	-2.0167	-0.9884	-0.4135	0.2882	-3.2304
85.9000	55.6623	-0.0001	0.0000	0.6760	4.3328	-1.2427	0.0064	6.8058	1.8598	10.8304	-1.9146	1.5645	-1.7432	0.0235	0.4743	-4.1256
85.9500	55.6961	-0.0001	0.0000	0.6700	4.3576	-1.1666	-0.0111	6.6792	2.0360	15.4289	0.9703	-1.7429	0.2280	0.7227	-0.4804	-4.5168
86.0000	55.7296	-0.0001	0.0000	0.6700	4.2852	-1.2368	-0.0089	6.7465	1.8239	14.0233	0.5350	0.9189	0.2902	0.3246	-0.8573	-4.1256
86.0500	55.7631	-0.0001	0.0000	0.6660	4.3296	-1.2980	-0.0143	6.9126	1.7465	12.3180	-1.0508	0.1688	-1.5923	1.5869	0.5281	-3.3198
86.1000	55.7964	-0.0001	0.0000	0.6640	4.3071	-1.1593	0.0463	6.6141	2.0002	11.4547	-2.6714	-2.8079	-0.0028	0.6110	-0.4804	-3.3764
86.1500	55.8296	-0.0001	0.0000	0.6600	4.2341	-1.2110	0.0108	6.6440	1.8241	11.8399	-1.1145	2.1295	0.0682	-0.0639	0.5281	-2.9241
86.2000	55.8626	-0.0001	0.0000	0.6540	4.1709	-1.2266	-0.0029	6.6118	1.7301	10.5557	-0.2325	-1.8901	1.4001	-0.5883	0.1267	-3.1408
86.2500	55.8953	-0.0001	0.0000	0.6620	4.1758	-1.1712	-0.0788	6.5064	1.8451	12.0077	-1.3451	-0.6837	0.8496	-1.5690	0.1365	-4.0267
86.3000	55.9284	-0.0001	0.0000	0.6480	4.1757	-1.2295	-0.0149	6.6224	1.7291	15.2754	-1.1498	-0.9126	-0.1626	-1.7779	-1.0630	-3.9513
86.3500	55.9608	-0.0001	0.0000	0.6600	4.0992	-1.2727	0.0501	6.6319	1.5666	12.7247	-0.7536	-0.7183	0.1837	-0.6271	-0.3776	-2.7402
86.4000	55.9938	-0.0001	0.0000	0.6480	4.0996	-1.1705	0.0709	6.4289	1.7702	10.0670	-2.5913	0.5033	0.8230	0.0964	-0.7350	-3.3293
86.4500	56.0262	-0.0001	0.0000	0.6480	4.0881	-1.2235	0.0469	6.5228	1.6533	10.2239	-0.3574	-0.5240	-0.9440	-0.0250	-1.1511	-2.3774
86.5000	56.0586	-0.0001	0.0000	0.6380	4.1497	-1.1493	-0.1416	6.4367	1.8626	16.2280	0.2475	1.5065	0.2813	1.2810	-0.8672	-2.5330
86.5500	56.0905	-0.0001	0.0000	0.6440	4.0589	-1.2160	0.0206	6.4788	1.6389	15.9069	-0.5719	-1.3540	-2.1072	0.7518	0.4939	-2.2784
86.6000	56.1227	-0.0001	0.0000	0.6380	4.0547	-1.1856	0.0447	6.4140	1.6954	12.3073	-2.0503	0.7843	0.3080	0.6547	-0.6860	-3.2869
86.6500	56.1546	-0.0001	0.0000	0.6360	3.9512	-1.1578	0.0392	6.2553	1.6471	10.7233	-2.6096	-1.8195	0.2014	0.1789	-0.4559	-3.2680
86.7000	56.1864	-0.0001	0.0000	0.6340	4.0173	-1.1380	-0.0050	6.2819	1.7528	13.3098	2.2899	0.1779	-0.9351	-0.7776	-0.4216	-2.9429
86.7500	56.2181	-0.0001	0.0000	0.6320	3.8964	-1.2039	-0.0821	6.2921	1.5006	13.1136	2.2108	1.7860	0.2547	-1.1126	-0.1083	-2.9476
86.8000	56.2497	-0.0001	0.0000	0.6220	3.8775	-1.1906	0.0616	6.2469	1.5081	15.1114	0.4689	-1.5913	1.2581	-0.4814	-0.6371	-2.3021
86.8500	56.2808	-0.0001	0.0000	0.6320	3.8737	-1.1742	0.0665	6.2103	1.5370	12.7497	-1.1420	1.7370	-0.1005	-1.2777	-0.2551	-2.8958
86.9000	56.3124	-0.0001	0.0000	0.6220	3.8700	-1.1078	-0.0220	6.0746	1.6654	12.0433	-0.9912	-3.3136	0.5744	-0.2678	-0.0545	-3.3293
86.9500	56.3435	-0.0001	0.0000	0.6200	3.7932	-1.1577	-0.1192	6.0971	1.4893	11.7793	0.2753	0.2410	-1.7786	-0.5203	-0.4510	-3.4566
87.0000	56.3745	-0.0001	0.0000	0.6180	3.7738	-1.1455	-0.0619	6.0534	1.4942	14.5477	-0.0271	-1.6032	-0.1448	-0.3164	-0.3041	-2.5093
87.0500	56.4054	-0.0001	0.0000	0.6180	3.7481	-1.1408	0.0966	6.0182	1.4779	12.7140	-0.8538	4.0168	0.1304	1.6792	0.1707	-2.3256
87.1000	56.4363	-0.0001	0.0000	0.6080	3.6910	-1.1206	0.0403	5.9211	1.4610	12.9423	-1.7629	-2.2765	-0.5799	0.6110	-0.6371	-2.8298
87.1500	56.4667	-0.0001	0.0000	0.6160	3.6677	-1.1192	-0.0334	5.8949	1.4405	13.1492	-2.6891	0.2101	-1.6189	1.4801	-0.4510	-2.1183
87.2000	56.4975	-0.0001	0.0000	0.6020	3.6686	-1.1315	-0.0690	5.9202	1.4170	17.3161	0.7106	-1.1842	0.2725	-0.3843	0.1071	-2.5801
87.2500	56.5276	-0.0001	0.0000	0.6100	3.6815	-1.0950	0.0092	5.8605	1.5024	15.7821	1.8961	0.3231	-1.8053	-1.0447	-0.6664	-1.6094
87.3000	56.5581	-0.0001	0.0000	0.6000	3.6128	-1.1613	0.0545	5.9238	1.3017	13.2705	-2.1360	-0.7056	-1.3525	-0.8213	-0.0251	-1.9297
87.3500	56.5881	-0.0001	0.0000	0.5980	3.6008	-1.1454	0.0141	5.8801	1.3214	15.4039	-1.8311	-0.1798	1.1337	-0.6368	-0.3972	-2.6461
87.4000	56.6180	-0.0001	0.0000	0.5960	3.5200	-1.0893	0.0174	5.6877	1.3523	12.8995	-1.1965	0.1094	0.4944	-1.1563	-0.1229	-2.5942
87.4500	56.6478	-0.0001	0.0000	0.5940	3.4465	-1.0928	-0.0034	5.6213	1.2718	12.1075	-0.2617	-0.9916	-0.5356	-0.2047	-0.6028	-1.9816
87.5000	56.6775	-0.0001	0.0000	0.5920	3.4726	-1.1284	0.0840	5.7181	1.2271	10.2167	-0.5671	0.5620	-0.5178	-0.6805	0.2393	-2.3962
87.5500	56.7071	-0.0001	0.0000	0.5900	3.4553	-1.0752	0.0469	5.5950	1.3155	11.7651	-2.0453	-1.4311	-1.1127	1.0529	-0.2062	-1.8213
87.6000	56.7366	-0.0001	0.0000	0.5860	3.4067	-1.0699	0.0288	5.5358	1.2776	16.2566	-0.5186	0.7222	0.6277	1.1548	-0.1279	-2.4387
87.6500	56.7659	-0.0001	0.0000	0.5840	3.3466	-1.0743	-0.0755	5.4844	1.2088	14.9080	1.0372	-0.4965	-2.0450	1.3005	-0.1524	-2.1277
87.7000	56.7951	-0.0001	0.0000	0.5800	3.4025	-1.1241	-0.0078	5.6395	1.1655	14.5976	1.3592	-0.9093	-0.3047	0.6013	-1.2001	-2.4528
87.7500	56.8241	-0.0001	0.0000	0.5760	3.3607	-1.1171	0.0600	5.5837	1.1376	12.4500	-1.2760	-1.5711	0.6010	-0.4232	-0.8868	-2.4575
87.8000	56.8529	-0.0001	0.0000	0.5720	3.2554	-1.0711	0.1545	5.3868	1.1240	13.5524	-2.1360	0.5311	-1.7609	0.3100	-0.7594	-3.0842
87.8500	56.8815	-0.0001	0.0000	0.5760	3.2345	-1.1031	0.0157	5.4297	1.0394	17.8298	1.6035	-0.5838	-0.4112	-0.2241	-0.1524	-1.9816
87.9000	56.9103	-0.0001	0.0000	0.5700	3.1289	-1.0921	-0.0537	5.3022	0.9556	14.8724	2.1691	1.8292	-0.8818	-0.9330	-0.4510	-1.9391
87.9500	56.9388	-0.0001	0.0000	0.5660	3.1777	-1.0033	-0.0171	5.1743	1.1812	12.0112	1.6774	-0.7920	-1.8231	-0.5155	-0.3972	-2.2172
88.0000	56.9671	-0.0001	0.0000	0.5600	3.1459	-1.0247	-0.0029	5.1851	1.1067	15.9462	-0.6879	0.9767	-0.6155	-0.5494	-0.6028	-1.8309
88.0500	56.9951	-0.0001	0.0000	0.5680	3.1219	-1.0770	0.0469	5.2652	0.9785	14.3908	-0.4033	-2.0025	-1.4679	-0.0736	-0.2111	-2.9523
88.1000	57.0235	-0.0001	0.0000	0.5580	3.0816	-1.0158	0.0550	5.1029	1.0602	11.2442	0.7125	1.2348	-0.6421	0.6595	-0.2846	-2.0947
88.1500	57.0514	-0.0001	0.0000	0.5560	3.0513	-1.0722	0.0419	5.1849	0.9177	13.5024	0.7944	0.7815	1.3380	0.1013	-0.4119	-1.7082
88.2000	57.0792	-0.0001	0.0000	0.5520	2.9969	-0.9932	-0.0291	4.9734	1.0203	14.0447	0.9143	0.3940	-0.3136	-0.1416	-0.2993	-1.6659
88.2500	57.1068	-0.0001	0.0000	0.5500	3.0476	-1.0494	0.0567	5.1359	0.9592	16.1673	-0.3165	0.6968	1.2136	0.1303	0.0386	-2.3680
88.3000	57.1343	-0.0001	0.0000	0.5440	3.0067	-1.0095	0.0414	5.0157	0.9977	15.7964	-0.1339	0.0338	-0.1360	-0.2144	-0.4657	-1.7837
88.3500	57.1615	-0.0001	0.0000	0.5480	2.9416	-1.0172	-0.0187	4.9658	0.9175	13.2456	-0.4076	-0.6298	0.4057	-0.6319	-0.4119	-2.4528
88.4000	57.1889	-0.0001	0.0000	0.5400	2.9087	-1.0083	-0.0640	4.9153	0.9022	13.7700	0.4649	-0.6397	-0.0117	-1.3651	-0.3041	-2.4764
88.4500	57.2159	-0.0001	0.0000	0.5440	2.9636	-0.9398	0.0867	4.8339	1.0934	15.8713	-2.6194	-1.5199	-0.7842	-0.9330	-0.1377	-2.3445
88.5000	57.2431	-0.0001	0.0000	0.5360	2.9196	-0.9968	0.1080	4.9032	0.9359	15.8213	-0.5657	-0.3079	0.7697	-0.8699	-0.1328	-1.6565
88.5500	57.2699	-0.0001	0.0000	0.5340	2.8469	-0.9971	-0.0875	4.8312	0.8626	15.3860	-1.2021	0.6941	-1.1039	0.1789	-0.9553	-1.4161
88.6000	57.2966	-0.0001	0.0000	0.5300	2.8375	-1.0372	-0.0859	4.9015	0.7734	16.3814	0.3806	-1.7629	0.3435	0.5721	-0.5342	-2.1749
88.6500	57.3231	-0.0001	0.0000	0.5280	2.8369	-0.9085	-0.0100	4.6448	1.0290	15.6216	-1.3253	-0.4675	-0.9085	0.3002	-0.0153	-1.0392
88.7000	57.3495	-0.0001	0.0000	0.5200	2.8150	-1.0115	0.0387	4.8280	0.8021	15.2398	-1.9251	-1.0032	-0.0827	0.5188	-1.0288	-2.5659
88.7500	57.3755	-0.0001	0.0000	0.5280	2.7512	-1.0010	-0.0542	4.7431	0.7593	12.8995	-0.0849	0.5882	-0.3313	0.1692	-0.8769	-2.4387
88.8000	57.4019	-0.0001	0.0000	0.5200	2.7533	-0.9467	-0.0657	4.6373	0.8693	14.2159	0.8313	0.0591	-0.9440	-0.1658	-0.8672	-1.9344
88.8500	57.4279	-0.0001	0.0000	0.5180	2.7319	-0.9390	0.0152	4.6005	0.8633	16.7988	1.8361	0.5169	1.0894	0.6305	0.2050	-1.6988
88.9000	57.4538	-0.0001	0.0000	0.5140	2.6409	-0.9891	0.0556	4.6091	0.6727	17.0307	-1.9230	-1.4790	-1.6544	-0.9184	-0.8916	-1.1335
88.9500	57.4795	-0.0001	0.0000	0.5120	2.6495	-0.9778	-0.0078	4.5954	0.7037	14.2338	-0.4254	-0.0851	1.1337	-0.4086	-0.3629	-2.3115
89.0000	57.5051	-0.0001	0.0000	0.5100	2.5944	-0.9564	-0.0001	4.4977	0.6911	13.2884	-0.3461	0.7801	1.0183	-0.9378	-0.0251	-2.2266
89.0500	57.5306	-0.0001	0.0000	0.5040	2.6033	-0.9838	-0.0269	4.5611	0.6454	16.0568	1.0026	0.5656	-0.4379	-1.0398	-0.1719	-1.9910
89.1000	57.5558	-0.0001	0.0000	0.5000	2.5251	-0.9478	-0.0384	4.4113	0.6389	19.0499	1.1350	-0.2032	0.0505	0.4362	-0.2551	-2.0618
89.1500	57.5808	-0.0001	0.0000	0.5020	2.4814	-0.9874	0.0436	4.4464	0.5163	16.9522	-1.8807	0.1085	2.1371	0.5042	-0.7350	-2.1088
89.2000	57.6059	-0.0001	0.0000	0.4960	2.4740	-0.9058	0.0813	4.2765	0.6715	16.7346	-1.4491	-0.7864	0.9740	0.7615	-1.1952	-1.5716
89.2500	57.6307	-0.0001	0.0000	0.4940	2.4269	-0.9679	0.0195	4.3531	0.5008	14.3801	-1.4219	0.0274	0.2725	0.7179	-1.0092	-1.8921
89.3000	57.6554	-0.0001	0.0000	0.4880	2.4241	-0.9847	-0.0608	4.3838	0.4645	12.2217	2.8069	-0.0425	0.3612	0.5624	-0.8916	-0.6905
89.3500	57.6798	-0.0001	0.0000	0.4920	2.4644	-0.9505	-0.0056	4.3558	0.5729	12.8746	0.8466	0.4116	-1.1572	-0.0153	-1.0826	-1.9156
89.4000	57.7044	-0.0001	0.0000	0.4820	2.4042	-0.9935	0.0550	4.3814	0.4270	19.0285	0.2253	0.9506	1.4091	-0.1610	-0.4020	-1.8119
89.4500	57.7285	-0.0001	0.0000	0.4880	2.3842	-0.9609	-0.0832	4.2965	0.4720	18.9964	0.5677	-0.0885	0.1926	-1.3020	0.2834	-1.3078
89.5000	57.7529	-0.0001	0.0000	0.4800	2.3565	-0.9772	0.0004	4.3012	0.4119	12.5820	-1.4615	0.8315	1.8619	-0.7825	-0.6224	-2.0522
89.5500	57.7769	-0.0001	0.0000	0.4780	2.3468	-0.9863	-0.0116	4.3096	0.3841	10.5771	1.0608	0.4263	2.6255	0.1157	-0.5685	-2.2361
89.6000	57.8008	-0.0001	0.0000	0.4740	2.3623	-0.9103	0.0764	4.1739	0.5508	14.2088	0.3861	0.5471	0.1481	0.1303	-0.6077	-0.4690
89.6500	57.8245	-0.0001	0.0000	0.4720	2.2074	-0.9148	-0.0558	4.0277	0.3870	17.0342	0.8372	-0.9469	0.3258	-0.4863	-0.7399	-1.6141
89.7000	57.8481	-0.0001	0.0000	0.4680	2.2137	-0.8596	-0.0509	3.9243	0.5032	19.1926	0.5575	-1.8411	2.9363	0.1741	-0.4706	-1.0627
89.7500	57.8715	-0.0001	0.0000	0.4660	2.1104	-0.9382	-0.0018	3.9773	0.2434	19.5101	1.1388	0.5033	0.8496	0.1983	-0.5245	-1.3926
89.8000	57.8948	-0.0001	0.0000	0.4620	2.2181	-0.8964	0.0141	4.0019	0.4344	17.4909	0.2909	1.4088	1.6221	0.3634	-0.3873	-2.1606
89.8500	57.9179	-0.0001	0.0000	0.4620	2.1905	-0.8841	0.0578	3.9499	0.4311	16.2494	-0.9558	0.9651	-0.0028	0.8586	-0.5098	-1.8309
89.9000	57.9410	-0.0001	0.0000	0.4580	2.1248	-0.8842	-0.0673	3.8845	0.3652	15.0079	-0.7620	1.6061	1.2314	-0.0493	-0.6910	-1.5434
89.9500	57.9639	-0.0001	0.0000	0.4540	2.0978	-0.8262	0.0195	3.7419	0.4536	13.6522	-0.2399	-1.2510	2.2348	0.3002	-0.2993	-2.0712
90.0000	57.9866	-0.0001	0.0000	0.4520	2.0896	-0.8906	0.0408	3.8619	0.3174	13.8306	1.3043	0.7789	0.1215	-0.4912	-0.6615	-1.4161
90.0500	58.0092	-0.0001	0.0000	0.4500	2.0575	-0.9058	0.0152	3.8601	0.2549	13.4453	0.8183	0.0463	1.5333	-0.5057	-0.6321	-0.5396
90.1000	58.0317	-0.0001	0.0000	0.4460	2.0240	-0.9078	0.0217	3.8306	0.2175	13.3134	-1.5448	-0.3188	2.4568	-0.8067	-0.0642	-0.8883
90.1500	58.0540	-0.0001	0.0000	0.4420	2.0214	-0.9003	0.0064	3.8131	0.2298	14.4157	0.3191	-0.6992	1.8175	-1.1272	0.3176	-2.2172
90.2000	58.0761	-0.0001	0.0000	0.4360	1.9617	-0.8745	-0.0242	3.7020	0.2213	17.3768	0.4732	-0.0695	0.0416	-0.5155	-0.3629	-1.0392
90.2500	58.0979	-0.0001	0.0000	0.4420	1.8965	-0.8424	0.0348	3.5729	0.2201	17.3375	1.6831	1.0966	1.4889	0.3974	-0.1621	-1.2135
90.3000	58.1200	-0.0001	0.0000	0.4320	1.8867	-0.8897	-0.0121	3.6572	0.1162	19.3960	0.9202	0.6247	-0.6954	0.1838	-0.4510	-1.1004
90.3500	58.1416	-0.0001	0.0000	0.4320	1.9227	-0.8167	0.0441	3.5480	0.2975	18.9964	1.4204	0.9217	1.4534	-0.0590	-0.4853	-1.2088
90.4000	58.1632	-0.0001	0.0000	0.4280	1.8045	-0.8579	0.0245	3.5118	0.0973	17.0200	1.9776	1.5279	0.3967	0.5236	-0.9308	-0.5302
90.4500	58.1846	-0.0001	0.0000	0.4260	1.8150	-0.8093	-0.0132	3.4255	0.2046	12.8781	0.1613	-2.0354	1.9684	0.3925	-0.3972	-1.9863
90.5000	58.2059	-0.0001	0.0000	0.4240	1.8379	-0.8218	0.0343	3.4733	0.2024	16.0710	-0.4282	1.6546	-0.9795	-0.7728	-0.6860	-0.7705
90.5500	58.2271	-0.0001	0.0000	0.4200	1.8052	-0.8267	0.0223	3.4503	0.1600	17.1341	1.9593	-0.7949	0.6099	-0.0104	-0.2209	-1.7082
90.6000	58.2481	-0.0001	0.0000	0.4180	1.7551	-0.8313	-0.1088	3.4093	0.1008	17.1984	2.9680	1.6060	1.0982	-0.9184	-0.3923	-1.9062
90.6500	58.2690	-0.0001	0.0000	0.4160	1.7230	-0.8251	-0.0466	3.3648	0.0811	16.5384	1.9513	0.6869	1.7909	-0.3697	-0.7546	-0.7234
90.7000	58.2898	-0.0001	0.0000	0.4100	1.7467	-0.7901	-0.0007	3.3189	0.1745	21.4365	2.2423	-0.0096	2.4746	-0.3746	-0.9847	-1.0157
90.7500	58.3103	-0.0001	0.0000	0.4100	1.7068	-0.8112	0.0479	3.3212	0.0924	19.0392	-0.4637	0.2706	-0.0028	0.5576	-0.4020	-0.5539
90.8000	58.3308	-0.0001	0.0000	0.4040	1.7415	-0.7690	-0.0526	3.2717	0.2113	17.4838	0.2608	-0.1387	1.2048	0.7664	-0.8525	-1.4963
90.8500	58.3510	-0.0001	0.0000	0.4040	1.6550	-0.7470	-0.0498	3.1415	0.1685	15.9997	2.3909	-0.4531	-0.2603	0.0139	-1.3029	-0.6999
90.9000	58.3712	-0.0001	0.0000	0.3960	1.6155	-0.7742	-0.0548	3.1561	0.0749	15.6322	1.5057	-0.8771	1.8619	-0.4523	-0.2356	-1.1617
90.9500	58.3910	-0.0001	0.0000	0.4020	1.5897	-0.7975	-0.0673	3.1767	0.0027	14.2587	1.9667	-0.1974	0.4767	0.8295	-0.7497	-0.7658
91.0000	58.4111	-0.0001	0.0000	0.3940	1.6501	-0.7358	0.0316	3.1143	0.1858	14.8224	0.6561	1.3196	1.6310	-0.4912	-0.7741	-1.5763
91.0500	58.4308	-0.0001	0.0000	0.3920	1.6520	-0.7489	0.0037	3.1424	0.1616	15.6500	2.1316	0.9209	0.3879	-0.4135	-1.0679	-1.2417
91.1000	58.4504	-0.0001	0.0000	0.3900	1.5661	-0.6836	-0.0553	2.9265	0.2057	15.2184	3.0214	-0.4491	0.0594	-0.4960	-0.2111	-0.8836
91.1500	58.4699	-0.0001	0.0000	0.3860	1.5524	-0.7749	-0.0449	3.0945	0.0102	12.8032	0.8233	1.5409	0.1304	-0.9621	-0.4216	-0.8271
