time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
5.3000	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0993	-0.2129	0.5892	0.1351	0.0665
5.3250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2804	-0.2323	-0.6690	-0.2749	1.0365
5.3500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.7796	-0.0526	-0.0521	0.3895	0.5841
5.3750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7476	0.6271	0.4766	0.2293	-1.2018
5.4000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.3658	0.0396	-0.3018	-0.2278	1.4981
5.4250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5523	-0.1983	-0.1990	-0.0770	-0.4324
5.4500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.6145	-0.3197	0.0605	0.4790	-1.6262
5.4750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0637	0.3261	-1.2712	0.4037	0.1924
5.5000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2291	0.0493	0.6921	-0.9488	-0.4697
5.5250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2504	-0.1449	0.0458	0.0502	-0.2039
5.5500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2946	-0.7470	-0.9187	-0.1618	-0.1573
5.5750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1172	-0.9169	0.4081	0.0785	0.5422
5.6000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.0107	0.1610	-0.1060	0.5544	-0.1713
5.6250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6109	0.0785	-0.9481	-0.3220	0.0106
5.6500	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.1827	0.1998	0.6725	-0.2796	1.6473
5.6750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.8329	0.2338	-0.3312	0.5592	0.0106
5.7000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7654	0.1270	-0.0619	0.0926	0.9945
5.7250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.8720	-0.1643	0.3249	0.1115	0.7987
