# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
6.6000	0.0025	-0.0001	0.0000	0.0000	0.0611	-0.0197	-0.0218	0.1004	0.0218	-0.0640	1.3644	1.4248	-1.3259	0.3311	-0.5430	0.0537
6.6500	0.0025	-0.0001	0.0000	0.0000	-0.0267	0.0187	-0.0338	-0.0639	0.0104	-0.2210	0.9720	0.7003	-0.5445	-0.2564	-0.3766	0.4165
6.7000	0.0025	-0.0001	0.0000	0.0000	0.0320	0.0454	0.0099	-0.0583	0.1222	0.6388	-0.8711	-0.3882	-0.8819	-0.1739	0.1962	0.5014
6.7500	0.0025	-0.0001	0.0000	0.0000	-0.0062	0.0278	0.0470	-0.0614	0.0491	-0.2602	0.6417	0.5429	0.5565	0.0835	0.0542	-0.3751
6.8000	0.0025	-0.0001	0.0000	0.0000	-0.0007	-0.0105	-0.0557	0.0202	-0.0215	0.0680	0.2523	0.5520	0.5654	-0.0185	0.1276	-0.9924
6.8500	0.0025	-0.0001	0.0000	0.0000	0.0367	-0.0073	0.0328	0.0512	0.0223	0.2143	-0.1676	-0.5651	-1.4414	-0.3438	-0.2934	-0.8840
6.9000	0.0025	-0.0001	0.0000	0.0000	-0.0044	0.0222	0.0241	-0.0486	0.0398	-0.2816	-0.4013	0.0193	-0.4468	-0.7662	0.9600	-0.7568
6.9500	0.0025	-0.0001	0.0000	0.0000	0.0233	0.0073	0.0017	0.0088	0.0378	-0.0533	-0.6634	-0.9982	-0.7931	-0.3535	-0.2836	0.4542
7.0000	0.0025	-0.0001	0.0000	0.0000	0.0402	-0.0284	-0.0442	0.0968	-0.0164	0.1537	0.8967	0.5416	-1.9119	0.4136	0.4459	0.5155
7.0500	0.0025	-0.0001	0.0000	0.0000	0.0373	-0.0171	0.0159	0.0712	0.0033	-0.3316	-0.8749	0.1420	0.7785	-0.0185	0.6515	0.2375
7.1000	0.0025	-0.0001	0.0000	0.0000	0.0268	-0.0243	0.0393	0.0752	-0.0216	-0.0461	1.1812	0.4571	-0.8286	0.1223	0.1619	-0.1584
