time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
5.7000	0.0041	-0.0001	0.0100	0.0000	0.0135	-0.0552	0.0033	0.1233	-0.0964	0.3289	0.7521	1.0223	1.6253	-0.0753	0.4120	-0.8253
5.7500	0.0041	-0.0001	0.0100	0.0000	-0.0391	0.0081	-0.0262	-0.0552	-0.0229	-0.1063	-0.4006	-1.4926	0.8350	0.1772	0.2750	-0.2457
5.8000	0.0041	-0.0001	0.0100	0.0000	0.0144	0.0208	-0.0415	-0.0270	0.0559	0.0614	0.1375	-0.7085	1.0926	0.7015	0.0693	0.5507
5.8500	0.0041	-0.0001	0.0100	0.0000	0.0354	0.0628	-0.0578	-0.0895	0.1602	0.2755	0.9524	1.0514	-0.5590	-0.7211	-0.3958	-0.1657
5.9000	0.0041	-0.0001	0.0100	0.0000	-0.0557	-0.0133	-0.0049	-0.0291	-0.0822	-0.3168	-2.0143	-0.5559	-0.6922	0.6482	0.5687	-0.5473
5.9500	0.0041	-0.0001	0.0100	0.0000	0.0157	0.0046	0.0154	0.0064	0.0249	0.1970	-0.5560	-1.2525	0.9416	0.9006	0.0644	0.5931
6.0000	0.0041	-0.0001	0.0100	0.0000	0.0927	0.0008	0.0290	0.0912	0.0943	0.0079	0.2122	-0.9440	-0.0440	0.2354	-0.2881	0.3009
6.0500	0.0041	-0.0001	0.0100	0.0000	-0.0367	-0.0672	0.0410	0.0970	-0.1704	0.3219	0.0619	-0.4459	-1.4735	0.0413	-0.0041	0.5318
6.1000	0.0041	-0.0001	0.0100	0.0000	0.0210	-0.0604	0.0241	0.1412	-0.0992	0.3504	0.9533	1.0241	2.1492	0.5122	-0.0091	0.2632
6.1500	0.0041	-0.0001	0.0100	0.0000	-0.0387	0.0223	0.0175	-0.0830	0.0057	-0.0029	-0.4905	0.8637	-0.2571	-0.1821	-0.6504	0.5601
6.2000	0.0041	-0.0001	0.0100	0.0000	-0.0273	-0.0446	0.0219	0.0614	-0.1161	0.1506	-0.4606	-1.2988	-1.8465	-0.1384	-0.6455	0.0276
6.2500	0.0041	-0.0001	0.0100	0.0000	0.0288	-0.0200	-0.0267	0.0687	-0.0110	-0.2597	1.2523	0.0826	-0.0352	0.5511	-0.7630	-0.4436
6.3000	0.0041	-0.0001	0.0100	0.0000	0.0232	0.0012	0.0197	0.0209	0.0256	0.5251	-0.0569	-0.5069	-0.5412	-0.3812	0.0252	-0.4389
6.3500	0.0041	-0.0001	0.0100	0.0000	-0.0380	0.0352	0.0432	-0.1081	0.0321	-0.0670	0.1828	0.3760	0.5598	0.2403	-0.2196	-0.1091
6.4000	0.0041	-0.0001	0.0100	0.0000	-0.0196	0.0019	0.0088	-0.0234	-0.0158	-0.9268	-1.3554	-0.1867	1.2435	-0.0365	0.3582	0.2067
6.4500	0.0041	-0.0001	0.0100	0.0000	-0.0103	0.0463	0.0093	-0.1024	0.0818	0.1470	-0.9643	-1.4869	-1.5002	0.0849	-0.1804	-0.4813
6.5000	0.0041	-0.0001	0.0100	0.0000	0.0070	-0.0075	0.0154	0.0219	-0.0078	-0.7341	1.1725	0.0601	0.4888	-0.2355	0.5099	0.5270
6.5500	0.0041	-0.0001	0.0100	0.0000	-0.0403	-0.0348	-0.0371	0.0289	-0.1095	1.4313	0.9755	0.3433	1.1369	-0.7065	-0.3909	0.2679
6.6000	0.0041	-0.0001	0.0100	0.0000	0.0539	0.0046	-0.0540	0.0447	0.0630	-0.1954	-0.7899	-0.2469	1.3501	-0.3812	-0.0335	0.4045
6.6500	0.0041	-0.0001	0.0100	0.0000	0.0488	-0.0182	0.0001	0.0850	0.0126	-0.3132	-0.0866	1.2342	-0.0884	-0.3423	0.6274	0.1265
